id,username,user_ids
1,moussa.cisse3,NULL
2,wilson_smk,NULL
3,momoo.el,NULL
4,Matthis.abline,NULL
5,aurel2fois_,NULL
6,nathan_kln9,NULL
7,adil_taoui,NULL
8,exaumpmbl,NULL
9,d.momo10,NULL
10,titouanthomas_,NULL
11,wilson.odobert,NULL
12,ndombasi.n,NULL
13,w.bianda,NULL
14,naat_8,NULL
15,lauriennnte,NULL
16,l.gourna27,NULL
17,i.gharbi10,NULL
18,l.dacunha09,NULL
19,dinarjr23,NULL
20,o.solet_18,NULL
21,n.mbuku,NULL
22,lucienagoume,NULL
23,ugo_bertelli_,NULL
24,loic.jr,NULL
25,amine_gouiri,NULL
26,e.cama10,NULL
27,khaliil.6,NULL
28,emeran.n,NULL
29,e.millot17,NULL
30,t.nianzou,NULL
31,k.nagera7,NULL
32,j_ntenda,NULL
33,arnaud_kalimuendo,NULL
34,johann_lpn,NULL
35,william_saliba,NULL
36,alioutraore,NULL
37,hnmassengo,NULL
38,k.nsona,NULL
39,soppy.brandon,NULL
40,matsima_c,NULL
41,stroeykensmario,NULL
42,jeremydoku49,NULL
43,youssoufa_10,NULL
44,tiago68ribeiro,NULL
45,hannibal.mj,NULL
46,jonathan_panzo,NULL
47,benoit.badiashile,NULL
48,bakali_jonathan,NULL
49,georginio.rutter,NULL
50,m.caqueret,NULL
51,mounir.chouiar,NULL
52,enzo.lefee,NULL
53,pepebonet_,NULL
54,eliemoussafir,NULL
